,tweet,followers,labels,tokens
31,"This pro-Trump sound has completely blown up on Tiktok with women.

https://t.co/XPzM7mYP1G",1585,1,"['protrump', 'sound', 'completely', 'blown', 'up', 'on', 'tiktok', 'with', 'woman', 'http', 'tcoxpzm7myp1g']"
32,    You’ll be alright in Tuscaloosa Melissa.,2535,1,"['ll', 'alright', 'in', 'tuscaloosa', 'melissa']"
33, THATS ME,454,1,['thats']
34,Feel this on a deep level https://t.co/wkqjQ04la6,937,1,"['feel', 'on', 'deep', 'level', 'http', 'tcowkqjq04la6']"
35, im so sorry for your loss :(,1645,1,"['im', 'so', 'sorry', 'loss']"
36, Good morning 🌻,5328,1,"['good', 'morning']"
37, SAY IT LOUDER FOR THE PEOPLE IN THE BACK,798,1,"['say', 'louder', 'people', 'in', 'back']"
38, taylor when she wrote the lucky one about joni,1353,1,"['taylor', 'when', 'wrote', 'lucky', 'one', 'about', 'joni']"
39,"Nothing will make me respond to you, if I'm talking to someone else and you jump into our conversation.",3103,1,"['nothing', 'will', 'make', 'respond', 'to', 'm', 'talking', 'to', 'someone', 'else', 'jump', 'into', 'conversation']"
40,I DON'T KNOW HOW TO SWIM HOW MUCH MORE IN IF I POSE UNDERWATER https://t.co/IRec1ekxkf,301,1,"['nt', 'know', 'how', 'to', 'swim', 'how', 'much', 'more', 'in', 'pose', 'underwater', 'http', 'tcoirec1ekxkf']"
41, 😏 TM STREAM BOUTTA BE SO GOOD,16,0,"['tm', 'stream', 'boutta', 'so', 'good']"
42,"“If I was your heart, would u let me beat”",3,0,"['heart', 'would', 'u', 'let', 'beat']"
43, ITS TRUE,590,1,['true']
44,just got compared to feeling good !,182,1,"['just', 'got', 'compared', 'to', 'feeling', 'good']"
45," Myself. 😂 Here’s an album for you… Beats &amp; Chill AudioGirl
https://t.co/lMLGEiDcpC",356,1,"['here', 's', 'album', 'beat', 'amp', 'chill', 'audiogirl', 'http', 'tcolmlgeidcpc']"
46,  Awesome I got that one as well 🖒I hope you had a good day as well,53,0,"['awesome', 'got', 'one', 'well', 'hope', 'good', 'day', 'well']"
47, Best place to smoke,172,1,"['best', 'place', 'to', 'smoke']"
48, Dumela  Ousi i almost  think  its #TheTrendingSaturday no  because of that song ya Migue… https://t.co/MdlZYc3qa6,1205,1,"['dumela', 'ousi', 'almost', 'think', 'thetrendingsaturday', 'no', 'song', 'ya', 'migue', 'http', 'tcomdlzyc3qa6']"
49, fire fire who u listening to,1176,1,"['fire', 'fire', 'u', 'listening', 'to']"
50,"Great project 🚀

#SoupSwapSmartChain https://t.co/iSrJgeNlnK",0,0,"['great', 'project', 'soupswapsmartchain', 'http', 'tcoisrjgenlnk']"
51,😂😂😂😂😂 keep living son!! https://t.co/YiA6bomCHU,1516,1,"['keep', 'living', 'son', 'http', 'tcoyia6bomchu']"
52," cried 🧍
LOL NO",1378,1,"['cried', 'lol', 'no']"
53,The Clippers had a 41-10 second quarter against the Houston Rockets. Wow.,16748,2,"['clipper', '4110', 'second', 'quarter', 'against', 'houston', 'rocket', 'wow']"
54,"Thank you PhiBalls for always loving the Gulf tirelessly

 #10Mเมนชั่นของคุณบิ๊กกลัฟ
",536,1,"['thank', 'phiballs', 'always', 'loving', 'gulf', 'tirelessly', '10mเมนชนของคณบกกลฟ']"
55,😓I hate the fandom really again nobody are supporting #Lay even i can't find a way to buy the album. The people onl… https://t.co/cSWLYEg3PO,16,0,"['hate', 'fandom', 'really', 'again', 'nobody', 'supporting', 'lay', 'even', 'ca', 'nt', 'find', 'way', 'to', 'buy', 'album', 'people', 'onl', 'http', 'tcocswlyeg3po']"
56,"    It doesn't matter.
 Short and sweet are perfect 😍💜",3713,1,"['nt', 'matter', 'short', 'sweet', 'perfect']"
57,I would like to watch something that will uplift my spirit. Please help 🌱,312,1,"['would', 'like', 'to', 'watch', 'something', 'will', 'uplift', 'spirit', 'please', 'help']"
58, CAN'T WAIT,5,0,"['ca', 'nt', 'wait']"
59,I know she’s shared this before but I love this 🖤 https://t.co/o6dNadNRSc,35,0,"['know', 's', 'shared', 'before', 'love', 'http', 'tcoo6dnadnrsc']"
60,  This is in my city 👀 and there used to be another business to the left of it in t… https://t.co/X3LRwGuGnS,490,1,"['in', 'city', 'there', 'used', 'to', 'another', 'business', 'to', 'left', 'in', 't', 'http', 'tcox3lrwgugns']"
61,"   I didn't even see this, the other guy who started this BS.",1455,1,"['nt', 'even', 'see', 'other', 'guy', 'started', 'b']"
62,Live Demo for getting Pre Approved Personal Loan PAPL from SBI YONO Mobi... https://t.co/J3pE84Ry7m via  https://t.co/qfSywaIe3n,520,1,"['live', 'demo', 'getting', 'pre', 'approved', 'personal', 'loan', 'papl', 'from', 'sbi', 'yono', 'mobi', 'http', 'tcoj3pe84ry7m', 'via', 'http', 'tcoqfsywaie3n']"
63, Yaaaayy you're able to choose already!,20,0,"['yaaaayy', 're', 'able', 'to', 'choose', 'already']"
64, WHAT ARE U DOING ? SLEEPING LIKE A DICKHEAD,13,0,"['u', 'sleeping', 'like', 'dickhead']"
65, So long! For all of us!,4098,1,"['so', 'long', 'all', 'u']"
66,   Kill me,451,1,['kill']
67, WAIT RLLY?v,407,1,"['wait', 'rlly', 'v']"
68,  Yeah isn't that strange because we could have worse weather South of us here on the East Coa… https://t.co/s8GZ99VRef,36,0,"['yeah', 'nt', 'strange', 'could', 'worse', 'weather', 'south', 'u', 'here', 'on', 'east', 'coa', 'http', 'tcos8gz99vref']"
69,Donny O gets the fans buzzing https://t.co/4E248WThwB,241,1,"['donny', 'o', 'get', 'fan', 'buzzing', 'http', 'tco4e248wthwb']"
70, both are beautiful!,555,1,"['both', 'beautiful']"
71,Just a friendly reminder that grains are a famine food and are used to fatten up cows and livestock.,11886,2,"['just', 'friendly', 'reminder', 'grain', 'famine', 'food', 'used', 'to', 'fatten', 'up', 'cow', 'livestock']"
72, Huh lol,323,1,"['huh', 'lol']"
73, The only thing they got right was my name hahahahaha,4075,1,"['only', 'thing', 'got', 'right', 'name', 'hahahahaha']"
74,"CAN ANYTHING GOOD COME OUT OF NAZARETH?, BY OFMB: FEAT. RICHIE STEPHENS, FROM THE ALBUM, REGGAE FOR CHRIST, VOL 2 (… https://t.co/L1temG3nFO",2209,1,"['can', 'anything', 'good', 'come', 'out', 'nazareth', 'ofmb', 'feat', 'richie', 'stephen', 'from', 'album', 'reggae', 'christ', 'vol', '2', 'http', 'tcol1temg3nfo']"
75,"Group 3  Adrian Knox Stakes - #13 Bargain 

#LizziesPOTY🐎",10775,2,"['group', '3', 'adrian', 'knox', 'stake', '13', 'bargain', 'lizziespoty']"
76,What's going on vegas? Who host tonight?,600,1,"['s', 'going', 'on', 'vega', 'host', 'tonight']"
77,"Family is Bull shit, some of them are traitors https://t.co/Ow1qxjq3Jg",8412,1,"['family', 'bull', 'shit', 'some', 'traitor', 'http', 'tcoow1qxjq3jg']"
78, gn!! and you too!💖,483,1,"['gn', 'too']"
79, It’s okay we can eat her,564,1,"['s', 'okay', 'can', 'eat']"
80,mfs must think i have stupid written across my forehead.,672,1,"['mf', 'must', 'think', 'stupid', 'written', 'across', 'forehead']"
81, Tone pls,1567,1,"['tone', 'pls']"
82," jang wonyoung

#MakeItWithIZONE 
",549,1,"['jang', 'wonyoung', 'makeitwithizone']"
83, YOOO BAE UR LAYOUT IS SO CUTE,48,0,"['yooo', 'bae', 'ur', 'layout', 'so', 'cute']"
84, LETS GO,549,1,"['let', 'go']"
85,"  si, con mi whipped coffee",167,1,"['si', 'con', 'mi', 'whipped', 'coffee']"
86,Tulsa County Sheriff's Office sees drastic rise in child predator cases https://t.co/wTjqOpeQ4c,76772,2,"['tulsa', 'county', 'sheriff', 's', 'office', 'see', 'drastic', 'rise', 'in', 'child', 'predator', 'case', 'http', 'tcowtjqopeq4c']"
87, I was always take Ls on these things…. Feel like I need a bot to get a bot nowadays :(,5,0,"['always', 'take', 'l', 'on', 'thing', 'feel', 'like', 'need', 'bot', 'to', 'get', 'bot', 'nowadays']"
88,     Bm are the most violent and aggressive males in… https://t.co/2OzkgXDI35,200,1,"['bm', 'most', 'violent', 'aggressive', 'male', 'in', 'http', 'tco2ozkgxdi35']"
89, Wtf amigis you’re bomb af. 💯,41,0,"['wtf', 'amigis', 're', 'bomb', 'af']"
90,nigga WHEERRREEEE is jackbox https://t.co/AruvDSUOEB,1070,1,"['nigga', 'wheerrreeee', 'jackbox', 'http', 'tcoaruvdsuoeb']"
91, pretty pretty pretty queen💛,174,1,"['pretty', 'pretty', 'pretty', 'queen']"
92, Braaaaaabo,1172,1,['braaaaaabo']
93, Itll be Fun dont worry,3506,1,"['itll', 'fun', 'dont', 'worry']"
94, Dm me with your cash tag to get spoiled ❤️❤️😊😍,1019,1,"['dm', 'with', 'cash', 'tag', 'to', 'get', 'spoiled']"
95,  Right. I think we more plausibly could move the needle by combining an IP buyout with in… https://t.co/fhPKDDabfy,9389,1,"['right', 'think', 'more', 'plausibly', 'could', 'move', 'needle', 'combining', 'ip', 'buyout', 'with', 'in', 'http', 'tcofhpkddabfy']"
96,My profs gas me too hard.,257,1,"['prof', 'gas', 'too', 'hard']"
97,As the world inches toward reopening and we see a light at the end of the tunnel the crisis oriented people among u… https://t.co/M2PR1gCiDN,1111,1,"['world', 'inch', 'toward', 'reopening', 'see', 'light', 'end', 'tunnel', 'crisis', 'oriented', 'people', 'among', 'u', 'http', 'tcom2pr1gcidn']"
98,"  Abril
 I vote #BTSArmy for #BestFanArmy at the #iHeartAwards ",39,0,"['abril', 'vote', 'btsarmy', 'bestfanarmy', 'iheartawards']"
99,"#GodMorningSaturday 

ETERNAL GOD KABIR 
IS THE OCEAN OF PEACE AND HAPPINESS.
ONLY HE CAN DESTROY SINS.

Take Refug… https://t.co/3vKdNMKRyV",3898,1,"['godmorningsaturday', 'eternal', 'god', 'kabir', 'ocean', 'peace', 'happiness', 'only', 'can', 'destroy', 'sin', 'take', 'refug', 'http', 'tco3vkdnmkryv']"
100, oh and my twitch is oliverainbow [don ask why 😭] feel free to gift me 😏,899,1,"['oh', 'twitch', 'oliverainbow', 'don', 'ask', 'why', 'feel', 'free', 'to', 'gift']"
101," Jeon Jungkook

I vote #BTSARMY for #BestFanArmy at #iHeartAwards",1572,1,"['jeon', 'jungkook', 'vote', 'btsarmy', 'bestfanarmy', 'iheartawards']"
102,diggin https://t.co/YCPiQgkeGD,213,1,"['diggin', 'http', 'tcoycpiqgkegd']"
103,"You deserve this and so much more
We love you so much, hope you won't ever forget 😭💖

… https://t.co/wRlm9fGzhv",545,1,"['deserve', 'so', 'much', 'more', 'love', 'so', 'much', 'hope', 'wo', 'nt', 'ever', 'forget', 'http', 'tcowrlm9fgzhv']"
104,Like sitcho dizzy ass down 🤣🤣 https://t.co/w5e8n9nwnT,1436,1,"['like', 'sitcho', 'dizzy', 'as', 'down', 'http', 'tcow5e8n9nwnt']"
105," 
Describe the final season on ! 💯",26,0,"['describe', 'final', 'season', 'on']"
106," For me, is Gurumin. 100% made with love. https://t.co/j5HMHX7NJ0",165,1,"['gurumin', '100', 'made', 'with', 'love', 'http', 'tcoj5hmhx7nj0']"
107, what usually helps u calm down?,2606,1,"['usually', 'help', 'u', 'calm', 'down']"
108, que isso heinnnnnnnn,97,0,"['que', 'isso', 'heinnnnnnnn']"
109,"My purpose in Life is to make every black person Rich as fuck.

 Dead ass",804,1,"['purpose', 'in', 'life', 'to', 'make', 'every', 'black', 'person', 'rich', 'fuck', 'dead', 'as']"
110,   thank uu raa,1068,1,"['thank', 'uu', 'raa']"
111,"1 Million+ LIKES 
#1MLikesForPushpaRajIntro

▶️ https://t.co/s6I7ZQfGfN

#ThaggedheLe
#IntroducingPushpaRaj… https://t.co/0SeKDrCeK8",1441,1,"['1', 'million', 'like', '1mlikesforpushparajintro', 'http', 'tcos6i7zqfgfn', 'thaggedhele', 'introducingpushparaj', 'http', 'tco0sekdrcek8']"
112,"  HEATHER!! AS ALWAYS, YOU'RE GORGEOUS! I REALLY LOVE YOUR SMILE AND YOUR COAR REALLYYY SUITS… https://t.co/iVxY8btrkv",436,1,"['heather', 'always', 're', 'gorgeous', 'really', 'love', 'smile', 'coar', 'reallyyy', 'suit', 'http', 'tcoivxy8btrkv']"
113,Don’t attach my name to NO Nigga !,463,1,"['don', 't', 'attach', 'name', 'to', 'no', 'nigga']"
114,   Yeeeaaaaaaaahhhhh,204,1,['yeeeaaaaaaaahhhhh']
115,going to step on the scale to see the damage 🤪,180,1,"['going', 'to', 'step', 'on', 'scale', 'to', 'see', 'damage']"
116,today i proved that being in a shitty ass mood is not good for you or anyone 😬👍🏼,217,1,"['today', 'proved', 'in', 'shitty', 'as', 'mood', 'not', 'good', 'anyone']"
117, oh my gosh I am treasuring this,396,1,"['oh', 'gosh', 'treasuring']"
118,Spieth is about to win his second Masters and all I could think about tonight was this. https://t.co/FiRx2lW6GJ,55631,2,"['spieth', 'about', 'to', 'win', 'second', 'master', 'all', 'could', 'think', 'about', 'tonight', 'http', 'tcofirx2lw6gj']"
119,The additional layer of verification may provide customers more time to think about their purchase. This can lead t… https://t.co/qi6rOFHJbd,929,1,"['additional', 'layer', 'verification', 'may', 'provide', 'customer', 'more', 'time', 'to', 'think', 'about', 'purchase', 'can', 'lead', 't', 'http', 'tcoqi6rofhjbd']"
120, So jao so jao 😛,478,1,"['so', 'jao', 'so', 'jao']"
121, normal ending 1 del DLC de april fool's day,391,1,"['normal', 'ending', '1', 'del', 'dlc', 'de', 'april', 'fool', 's', 'day']"
122, It’s INSANE OMG!!!,352,1,"['s', 'insane', 'omg']"
123," Frankly, I wouldn't want an agent who didn't do some cheerleading for me.",78,0,"['frankly', 'would', 'nt', 'want', 'agent', 'nt', 'some', 'cheerleading']"
124,most people know way less abt hormones than they think they do bc even PROFESSIONALS only kind of understand them i… https://t.co/7nzQoMOC9C,4,0,"['most', 'people', 'know', 'way', 'le', 'abt', 'hormone', 'than', 'think', 'bc', 'even', 'professional', 'only', 'kind', 'understand', 'http', 'tco7nzqomoc9c']"
125, Tucker Carlson loves playing fake genocide victim.,111,1,"['tucker', 'carlson', 'love', 'playing', 'fake', 'genocide', 'victim']"
126, has a decent one https://t.co/U2VNXIqUXz,587,1,"['decent', 'one', 'http', 'tcou2vnxiquxz']"
127,Oh honey #AdoreYou #BestLyrics #iHeartAwards,118,1,"['oh', 'honey', 'adoreyou', 'bestlyrics', 'iheartawards']"
128,"I'm great again, need no women",4,0,"['m', 'great', 'again', 'need', 'no', 'woman']"
129,should i drink?,150,1,"['should', 'drink']"
130, i better be breaking my back when this album comes out,336,1,"['better', 'breaking', 'back', 'when', 'album', 'come', 'out']"
131,Id walk through fire for you #AdoreYou #BestLyrics #iHeartAwards,118,1,"['id', 'walk', 'through', 'fire', 'adoreyou', 'bestlyrics', 'iheartawards']"
132,Check out my broadcast from my PlayStation 4! #PS4live (FINAL FANTASY XIV)  live at https://t.co/XmFtoXI1om,1,0,"['check', 'out', 'broadcast', 'from', 'playstation', '4', 'ps4live', 'final', 'fantasy', 'xiv', 'live', 'http', 'tcoxmftoxi1om']"
133," Hey, this actually isn't too bad!",208,1,"['hey', 'actually', 'nt', 'too', 'bad']"
134,Just let me adore you #AdoreYou #BestLyrics #iHeartAwards,118,1,"['just', 'let', 'adore', 'adoreyou', 'bestlyrics', 'iheartawards']"
135,the way they owned this episode https://t.co/0J7tsbVqwB,0,0,"['way', 'owned', 'episode', 'http', 'tco0j7tsbvqwb']"
136, bruh,583,1,['bruh']
137,Honey #AdoreYou #BestLyrics #iHeartAwards,118,1,"['honey', 'adoreyou', 'bestlyrics', 'iheartawards']"
138,You dont have to say youre mine #AdoreYou #BestLyrics #iHeartAwards,118,1,"['dont', 'to', 'say', 'youre', 'mine', 'adoreyou', 'bestlyrics', 'iheartawards']"
139,"  2000 DAYS WITH TWICE
#Everyday_with_TWICE
#트와이스와_함께한_2000일의_기억
",444,1,"['2000', 'day', 'with', 'twice', 'everyday_with_twice', '트와이스와_함께한_2000일의_기억']"
140, What? How so?,1883,1,"['how', 'so']"
141,i just want my mouth filled :(,396,1,"['just', 'want', 'mouth', 'filled']"
142,   That’s correct.,3389,1,"['s', 'correct']"
143,  lots of more young people getting sick but deaths have thankfully stayed low. 2 yesterday i believe province wide.,914,1,"['lot', 'more', 'young', 'people', 'getting', 'sick', 'death', 'thankfully', 'stayed', 'low', '2', 'yesterday', 'believe', 'province', 'wide']"
144, when’s jackbox king,54,0,"['when', 's', 'jackbox', 'king']"
145, have a great dayy,694,1,"['great', 'dayy']"
146,"#AEW Star Reached Out To Steve Austin About Joining Him
https://t.co/z0o5Kdcic4",56830,2,"['aew', 'star', 'reached', 'out', 'to', 'steve', 'austin', 'about', 'joining', 'http', 'tcoz0o5kdcic4']"
147, who’s we,25,0,['s']
148, But do you know what I mean? I want THEM to prove they don’t suck. The places that asked for references were the worst.,957,1,"['know', 'mean', 'want', 'to', 'prove', 'don', 't', 'suck', 'place', 'asked', 'reference', 'worst']"
149, LETS GOOO!! :D,4,0,"['let', 'gooo', 'd']"
150,        … https://t.co/DpjEJLZwSs,80,0,"['http', 'tcodpjejlzwss']"
151,Thank you  for the life changing experience #WynonnaEarp had on every single human. I am embraced and cher… https://t.co/N0PCvQ5qcS,104,1,"['thank', 'life', 'changing', 'experience', 'wynonnaearp', 'on', 'every', 'single', 'human', 'embraced', 'cher', 'http', 'tcon0pcvq5qcs']"
152, Killmonger,1,0,['killmonger']
153,Deadass https://t.co/GARUaIApkm,1725,1,"['deadass', 'http', 'tcogaruaiapkm']"
154,So this the tracking ^^ only one remaining items I didn't post yet because had to use poslaju . I will immediately… https://t.co/pd5rff6X0j,1118,1,"['so', 'tracking', 'only', 'one', 'remaining', 'item', 'nt', 'post', 'yet', 'to', 'use', 'poslaju', 'will', 'immediately', 'http', 'tcopd5rff6x0j']"
155,I love a fresh lace 😫,754,1,"['love', 'fresh', 'lace']"
156,  i’m so jealous,7,0,"['m', 'so', 'jealous']"
157, That’s surprising to hear now.,629,1,"['s', 'surprising', 'to', 'hear', 'now']"
158,drunk af lmfaooooo,166,1,"['drunk', 'af', 'lmfaooooo']"
159,"vagas:
team nosh: 0/10
team noart: 0/10
team joalina: 0/10
team beauany: 0/10",0,0,"['vagas', 'team', 'nosh', '010', 'team', 'noart', '010', 'team', 'joalina', '010', 'team', 'beauany', '010']"
160,  well deserved congrats joe,200,1,"['well', 'deserved', 'congrats', 'joe']"
161, Soon...,304,1,['soon']
162,"Y’all be outhea fucking popular bums and popular crackheads,  then be mad when bum crackhead shit happen 😭",235,1,"['y', 'all', 'outhea', 'fucking', 'popular', 'bum', 'popular', 'crackheads', 'then', 'mad', 'when', 'bum', 'crackhead', 'shit', 'happen']"
163,The existing complex nature of conflicts is worsened by these crimes on #Tigray|ans which are luckily documented. U… https://t.co/WWlQOQc81f,2645,1,"['existing', 'complex', 'nature', 'conflict', 'worsened', 'crime', 'on', 'tigrayans', 'luckily', 'documented', 'u', 'http', 'tcowwlqoqc81f']"
164, like there’s 2 piercings i’m particular about and it s mainly because I can remember them.  The othe… https://t.co/yP1S0xn1K4,12538,2,"['like', 'there', 's', '2', 'piercings', 'm', 'particular', 'about', 's', 'mainly', 'can', 'remember', 'othe', 'http', 'tcoyp1s0xn1k4']"
165," oh come on, dream jr, suck it up",7470,1,"['oh', 'come', 'on', 'dream', 'jr', 'suck', 'up']"
166,"SO ‼️STREAM‼️

🔗 https://t.co/4QA7W085dF 

#iKON #아이콘 ",1574,1,"['so', 'stream', 'http', 'tco4qa7w085df', 'ikon', '아이콘']"
167,"messy

iHeart For BLACKPINK 
I vote #HowYouLikeThat for #BestMusicVideo on #iHeartAwards 
 https://t.co/1CwIDAkdLI",96,0,"['messy', 'iheart', 'blackpink', 'vote', 'howyoulikethat', 'bestmusicvideo', 'on', 'iheartawards', 'http', 'tco1cwidakdli']"
168, Imma just act like I ain’t seen nothin https://t.co/FCZYYBoCLi,1352,1,"['imma', 'just', 'act', 'like', 'ain', 't', 'seen', 'nothin', 'http', 'tcofczyybocli']"
169,imagine https://t.co/ug8I6r0XJb,305,1,"['imagine', 'http', 'tcoug8i6r0xjb']"
170,  okay and?,21,0,['okay']
171,On a lighter note... the new season of Rick and Morty starts in June🙌🏽,3980,1,"['on', 'lighter', 'note', 'new', 'season', 'rick', 'morty', 'start', 'in', 'june']"
172,i need more tats,1747,1,"['need', 'more', 'tat']"
173,   That is such an Eric tweet,910,1,"['such', 'eric', 'tweet']"
174,Why nobody doing the thing... https://t.co/GxyjM2tOQx,112,1,"['why', 'nobody', 'thing', 'http', 'tcogxyjm2toqx']"
175,the new mighty ducks jersey &amp; logo is fire. i love it,5416,1,"['new', 'mighty', 'duck', 'jersey', 'amp', 'logo', 'fire', 'love']"
176, AMAZING! #AGNATION #BestFanArmy #iHeartAwards,1563,1,"['amazing', 'agnation', 'bestfanarmy', 'iheartawards']"
177, ball  sack  water  me  like,211,1,"['ball', 'sack', 'water', 'like']"
178,Yall wild 😉 https://t.co/RlEh2vCXQf,522,1,"['yall', 'wild', 'http', 'tcorleh2vcxqf']"
179,"Baby the only condiments i fw are HOT SAUCE, ranch, honey mustard, sweet n sour, chick fil a sauce, polynesian and… https://t.co/x6l6Je1sW7",1191,1,"['baby', 'only', 'condiment', 'fw', 'hot', 'sauce', 'ranch', 'honey', 'mustard', 'sweet', 'n', 'sour', 'chick', 'fil', 'sauce', 'polynesian', 'http', 'tcox6l6je1sw7']"
180,    Happy Birthday Legend!,11,0,"['happy', 'birthday', 'legend']"
181,The way I would be so annoying if I won this https://t.co/GuiVuOGoGq,1448,1,"['way', 'would', 'so', 'annoying', 'won', 'http', 'tcoguivuogogq']"
182, Now you tell me. Great show tonight. Makes you wonder about guys like “Bob”.,74,0,"['now', 'tell', 'great', 'show', 'tonight', 'make', 'wonder', 'about', 'guy', 'like', 'bob']"
183, maoist baathism,288,1,"['maoist', 'baathism']"
184,But who is listening to my heart when you're not here,289,1,"['listening', 'to', 'heart', 'when', 're', 'not', 'here']"
185," ""Ecofriendly""",4193,1,['ecofriendly']
186,"Cashmere Cat, Major Lazer, &amp; Tory Lanez - Miss You",36,0,"['cashmere', 'cat', 'major', 'lazer', 'amp', 'tory', 'lanez', 'miss']"
187," ..oh, sorry.
Wasn't trying to be rude or anything.
But still, this is an absolutely FANTASTIC model.
I re… https://t.co/JY28OAJuXA",31,0,"['oh', 'sorry', 'nt', 'trying', 'to', 'rude', 'anything', 'still', 'absolutely', 'fantastic', 'model', 're', 'http', 'tcojy28oajuxa']"
188,(Stolen from ) Hit me w/ your best shot. https://t.co/YoIiKF4Xlc,773,1,"['stolen', 'from', 'hit', 'w', 'best', 'shot', 'http', 'tcoyoiikf4xlc']"
189,  If true it's an unacceptable threat to readiness.,1509,1,"['true', 's', 'unacceptable', 'threat', 'to', 'readiness']"
190,Looks like I'm back on the market,279,1,"['look', 'like', 'm', 'back', 'on', 'market']"
191,"  Really nice!! LaunchZone's operations are simple and straightforward, and the production team… https://t.co/QdvwFvmUe0",937,1,"['really', 'nice', 'launchzone', 's', 'operation', 'simple', 'straightforward', 'production', 'team', 'http', 'tcoqdvwfvmue0']"
